approve,id,label,kind,unit_id,era_id,region_primary,region_others,year_from,year_to,year_precision,exam_weight,prereq_ids,retired,why_confusable,note
○,kc.crusade.two_trade_zones,地中海商業圏と北ヨーロッパ商業圏の違い,distinction,wh.3.3.1,1,南欧・地中海,西欧;北欧,1100,1400,century,1.4,,,ヴェネツィア・ジェノヴァが扱う東方物産と、ハンザ同盟が扱う海産物・木材・穀物が入れ替わり、シャンパーニュが両者を結ぶ位置だという役割も落ちる,
○,kc.crusade.trade_routes_geo,東方貿易と内陸交易路の結節点,geo,wh.3.3.1,1,南欧・地中海,西欧;アナトリア・シリア,1100,1400,century,1.3,kc.crusade.two_trade_zones,,ヴェネツィア・ジェノヴァ・フィレンツェ・ブリュージュ・リューベックの位置と役割が地図上で結びつかない,
○,kc.crusade.manor_decline,貨幣経済の浸透が荘園制を崩した因果,causal,wh.3.3.1,1,西欧,,1200,1400,century,1.5,kc.euro.feudal_two_layers,,地代が生産物から貨幣に変わったことが農奴の解放につながる筋が、黒死病による人口減という別の要因と切り離される,
○,kc.medstate.papal_decline_order,教皇権の絶頂から衰退までの順序,chronology,wh.3.3.2,1,西欧,南欧・地中海,1198,1417,exact,1.5,kc.euro.investiture_controversy,,インノケンティウス3世の絶頂・アナーニ事件・教皇のバビロン捕囚・大シスマ・コンスタンツ公会議の順序が崩れる,
○,kc.medstate.parliament_vs_etats,イギリス議会とフランス三部会の違い,distinction,wh.3.3.2,1,西欧,,1265,1302,exact,1.5,,,シモン=ド=モンフォールの議会・模範議会（イギリス）と三部会（フランス）の成立事情が逆になり、大憲章との前後関係も崩れる,
○,kc.medstate.hundred_years_war,百年戦争が両国の王権を強めた因果,causal,wh.3.3.2,1,西欧,,1339,1453,exact,1.5,kc.medstate.parliament_vs_etats,,開戦の理由（フランドルとギエンヌ）と、結果として諸侯騎士が没落し常備軍・官僚制が育つという因果が結びつかない,
○,kc.medstate.hre_vs_france,神聖ローマ帝国とフランス王権の集権度の違い,distinction,wh.3.3.2,1,西欧,,1250,1500,century,1.4,kc.medstate.hundred_years_war,,金印勅書が分権を固定したドイツと、集権化が進んだフランスが、同じ時期に逆方向へ動いたという対比が抜ける,
○,kc.medstate.europe_1500_geo,15世紀末のヨーロッパ主要国の版図,geo,wh.3.3.2,1,西欧,南欧・地中海;東欧・ロシア,1450,1500,century,1.3,kc.medstate.hre_vs_france,,イベリア半島のレコンキスタ完了・モスクワ大公国の自立・神聖ローマ帝国の分立状態を、同じ地図の上に置けない,
○,kc.medstate.reconquista,レコンキスタがスペイン王国を生んだ因果,causal,wh.3.3.2,1,南欧・地中海,西欧,1085,1492,exact,1.4,,,国土回復運動が1492年のグラナダ陥落で完了したことと、同じ年のコロンブス出航が同一の王権の事業だという関係が見えない,
○,kc.medcult.black_death_effects,黒死病が社会構造を変えた因果,causal,wh.3.3.3,1,西欧,南欧・地中海,1347,1400,exact,1.6,kc.crusade.manor_decline,,人口の激減→労働力不足→農民の地位向上→領主の反動→ジャックリーの乱・ワット=タイラーの乱という連鎖として説明できない,
○,kc.medcult.realism_vs_nominalism,スコラ学の実在論と唯名論,distinction,wh.3.3.3,1,西欧,,1100,1350,century,1.3,,,アンセルムス（実在論）とアベラール・オッカム（唯名論）の対応が入れ替わり、普遍論争が信仰と理性の関係をめぐる問題だという枠組みも抜ける,
○,kc.medcult.medieval_universities,中世大学の成立と得意分野,fact,wh.3.3.3,1,西欧,南欧・地中海,1088,1300,century,1.2,kc.medcult.realism_vs_nominalism,,ボローニャ（法学）・サレルノ（医学）・パリ（神学）という対応が入れ替わり、教授と学生の組合から生まれたという成り立ちも落ちる,
○,kc.medcult.romanesque_vs_gothic,ロマネスクとゴシックの違い,distinction,wh.3.3.3,1,西欧,,1000,1400,century,1.2,,,半円アーチ・厚い壁・小さい窓（ロマネスク）と尖頭アーチ・飛び梁・ステンドグラス（ゴシック）の対応と、代表建築が混ざる,
○,kc.medcult.wyclif_and_hus,教会批判が宗教改革の先駆となった経緯,causal,wh.3.3.3,1,西欧,東欧・ロシア,1376,1415,exact,1.4,kc.medstate.papal_decline_order,,ウィクリフとフスが聖書に立ち返るよう説いたことと、コンスタンツ公会議で異端とされたことが、100年後のルターと切り離される,
○,kc.mingqing.ming_vs_qing_rule,明と清の中国支配の方法の違い,distinction,wh.3.4.1,2,中国,モンゴル高原,1368,1912,exact,1.6,,,漢民族王朝（明）と征服王朝（清）の違いが、清の懐柔策（科挙の継続・満漢併用制）と威圧策（辮髪・文字の獄）の両面として説明できない,
○,kc.mingqing.haijin_and_tribute,明の海禁と朝貢体制,fact,wh.3.4.1,2,中国,東南アジア,1368,1567,exact,1.5,kc.mingqing.ming_vs_qing_rule,,民間貿易の禁止と朝貢貿易の推進が一体の政策であることと、鄭和の遠征がその枠内の事業だったことが結びつかない,
○,kc.mingqing.tax_silver_reform,一条鞭法と地丁銀が生まれた因果,causal,wh.3.4.1,2,中国,ラテンアメリカ,1581,1717,exact,1.5,kc.mingqing.haijin_and_tribute,,日本銀とメキシコ銀の流入が税の銀納化を可能にしたという世界史的な結びつきが、税制名の暗記に埋もれる,
○,kc.mingqing.ming_fall_order,明の滅亡から清の支配確立までの順序,chronology,wh.3.4.1,2,中国,モンゴル高原,1616,1683,exact,1.4,kc.mingqing.ming_vs_qing_rule,,李自成の乱による明の滅亡・呉三桂の先導での入関・三藩の乱・台湾平定という順序が崩れる,
○,kc.mingqing.qing_territory_geo,清の最大版図と藩部,geo,wh.3.4.1,2,中国,モンゴル高原;中央アジア,1683,1759,exact,1.5,kc.mingqing.ming_fall_order,,直轄領・藩部（モンゴル・青海・チベット・新疆）・朝貢国という三層の支配が地図上で区別できない,
○,kc.mingqing.new_crops_population,明清期の人口増加を支えた要因,causal,wh.3.4.1,2,中国,ラテンアメリカ,1550,1800,century,1.3,kc.mingqing.tax_silver_reform,,トウモロコシ・サツマイモという新大陸作物の伝来が、山地の開発と人口の急増につながる筋が見えない,
○,kc.ottoman.expansion_order,オスマン帝国が拡大した順序,chronology,wh.3.4.2,2,アナトリア・シリア,東欧・ロシア;エジプト・北アフリカ,1299,1683,exact,1.6,,,コソヴォ・ニコポリスの勝利、コンスタンティノープル陥落、モハーチの戦い、第1次ウィーン包囲、プレヴェザ、レパント、第2次ウィーン包囲の順序が崩れる,
○,kc.ottoman.devshirme_and_timar,オスマン帝国の支配制度,fact,wh.3.4.2,2,アナトリア・シリア,東欧・ロシア,1400,1600,century,1.5,kc.ottoman.expansion_order,,デヴシルメで集めた少年からイェニチェリを編成する仕組みと、ティマール制（軍事封土）が別々の話として覚えられる,
○,kc.ottoman.millet_system,ミッレト制とジズヤの関係,distinction,wh.3.4.2,2,アナトリア・シリア,東欧・ロシア,1450,1800,century,1.4,kc.ottoman.devshirme_and_timar,,異教徒共同体の自治を認めることと、その代償として人頭税を課すことが、寛容か抑圧かのどちらか一方に片づけられる,
○,kc.ottoman.sunni_vs_shia_states,オスマン朝とサファヴィー朝の宗派の対立,distinction,wh.3.4.2,2,メソポタミア・イラン,アナトリア・シリア,1501,1736,exact,1.6,kc.islam.sunni_vs_shia_origin,,サファヴィー朝がシーア派を国教としたことが、スンナ派のオスマン朝との対立軸になるという構図が抜ける,
○,kc.ottoman.three_empires_geo,3イスラーム帝国の版図,geo,wh.3.4.2,2,アナトリア・シリア,メソポタミア・イラン;南アジア,1500,1700,century,1.5,kc.ottoman.sunni_vs_shia_states,,オスマン（アナトリア・バルカン・アラブ）・サファヴィー（イラン）・ムガル（インド）の境界と首都が地図上で入れ替わる,
○,kc.ottoman.mediterranean_decline,地中海商業圏の地位が下がった要因,causal,wh.3.4.2,2,アナトリア・シリア,南欧・地中海;西欧,1500,1600,century,1.3,kc.ottoman.expansion_order,,オスマンによる東地中海の掌握と喜望峰航路の開拓が同時期に進んだという、東西からの要因の重なりが見えない,
○,kc.mughal.emperor_order,ムガル帝国の皇帝と政策の順序,chronology,wh.3.4.3,2,南アジア,,1526,1707,exact,1.6,kc.islamize.delhi_sultanate_order,,バーブル（建国）・アクバル（融和）・シャー=ジャハーン（タージ=マハル）・アウラングゼーブ（強硬）の順序と政策が入れ替わる,
○,kc.mughal.akbar_vs_aurangzeb,アクバルとアウラングゼーブの宗教政策の違い,distinction,wh.3.4.3,2,南アジア,,1556,1707,exact,1.7,kc.mughal.emperor_order,,ジズヤの廃止（アクバル）と復活（アウラングゼーブ）という対比が、帝国の統合と解体の分かれ目だという意味づけまで届かない,
○,kc.mughal.mansabdar,マンサブダール制の内容,fact,wh.3.4.3,2,南アジア,,1571,1707,century,1.3,kc.mughal.emperor_order,,位階に応じて騎兵の維持義務と給与地を与える制度であることが、イクター制やティマール制と区別されない,
○,kc.mughal.decline_causes,ムガル帝国が解体した要因,causal,wh.3.4.3,2,南アジア,,1707,1764,exact,1.5,kc.mughal.akbar_vs_aurangzeb,,宗教政策の転換によるマラーター・シクの離反と、地方太守の自立という2つの流れが並べられない,
○,kc.mughal.indo_islamic_culture,インド=イスラーム文化の融合の表れ,distinction,wh.3.4.3,2,南アジア,,1526,1707,century,1.2,kc.mughal.emperor_order,,ウルドゥー語・ムガル絵画・タージ=マハルが、ペルシアとインドのどの要素の融合なのかまで説明できない,
○,kc.voyage.motives,ヨーロッパが海へ出た要因,causal,wh.3.5.1,2,南欧・地中海,西欧;アナトリア・シリア,1415,1498,exact,1.5,kc.ottoman.mediterranean_decline,,香辛料への需要・オスマンによる陸路の圧迫・レコンキスタの延長という3つの動機が、「マルコ=ポーロの影響」だけに縮む,
○,kc.voyage.two_routes_geo,ポルトガルとスペインの航路の違い,geo,wh.3.5.1,2,南欧・地中海,サハラ以南アフリカ;南アジア;ラテンアメリカ,1488,1522,exact,1.6,kc.voyage.motives,,東回り（バルトロメウ=ディアス→ヴァスコ=ダ=ガマ）と西回り（コロンブス→マゼラン）の担い手と到達地が入れ替わる,
○,kc.voyage.tordesillas,トルデシリャス条約の内容,fact,wh.3.5.1,2,南欧・地中海,ラテンアメリカ,1494,1529,exact,1.3,kc.voyage.two_routes_geo,,教皇の裁定にもとづく分界線であることと、その結果ブラジルだけがポルトガル領になったという帰結が結びつかない,
○,kc.voyage.commercial_revolution,商業革命と価格革命が起きた因果,causal,wh.3.5.1,2,西欧,ラテンアメリカ;南欧・地中海,1500,1600,century,1.6,kc.voyage.two_routes_geo,,銀の大量流入による物価騰貴（価格革命）と、商業の中心が地中海から大西洋へ移ること（商業革命）が、別々の暗記項目になる,
○,kc.voyage.east_india_companies,各国の東インド会社の違い,distinction,wh.3.5.1,2,西欧,東南アジア;南アジア,1600,1799,exact,1.4,kc.voyage.commercial_revolution,,イギリス・オランダ・フランスの設立順と、アンボイナ事件を境に香辛料はオランダ・インドはイギリスと棲み分けが決まった経緯が崩れる,
○,kc.voyage.gutsherrschaft,東欧で農場領主制が強まった因果,causal,wh.3.5.1,2,東欧・ロシア,西欧,1500,1700,century,1.4,kc.voyage.commercial_revolution,,西欧で農奴が解放へ向かう一方、東欧で再版農奴制が強まるという逆方向の動きが、穀物輸出という関係から説明できない,
○,kc.atlantic.three_civilizations,アステカ・インカ・マヤの違い,distinction,wh.3.5.2,2,ラテンアメリカ,,300,1533,century,1.4,,,位置（メキシコ高原／アンデス／ユカタン半島）と特徴（暦と絵文字／キープと道路網）の対応が入れ替わる,
○,kc.atlantic.conquest_order,アメリカ大陸征服の順序,chronology,wh.3.5.2,2,ラテンアメリカ,南欧・地中海,1492,1533,exact,1.3,kc.atlantic.three_civilizations,,コロンブスの到達・コルテスによるアステカ征服・ピサロによるインカ征服の順序と担い手が混ざる,
○,kc.atlantic.conquest_causes,少数の征服者が大帝国を倒せた要因,causal,wh.3.5.2,2,ラテンアメリカ,,1519,1533,exact,1.5,kc.atlantic.conquest_order,,火器と馬だけで説明し、天然痘などの疫病による人口崩壊と、被支配部族の離反という要因を落とす,
○,kc.atlantic.encomienda,エンコミエンダ制とアシエンダ制,fact,wh.3.5.2,2,ラテンアメリカ,,1503,1700,century,1.4,kc.atlantic.conquest_causes,,先住民の保護と教化を条件とする委託（エンコミエンダ）から大農園経営（アシエンダ）へ移る前後関係と、ラス=カサスの批判の位置が崩れる,
○,kc.atlantic.triangular_trade_geo,大西洋三角貿易の三辺,geo,wh.3.5.2,2,西欧,サハラ以南アフリカ;ラテンアメリカ;北アメリカ,1600,1800,century,1.6,kc.atlantic.encomienda,,どの辺で何が運ばれたか（雑貨→奴隷→砂糖と綿花）が入れ替わり、リヴァプールやナントの位置も結びつかない,
○,kc.atlantic.columbian_exchange,新旧大陸の作物と病原体の交換が生んだ影響,causal,wh.3.5.2,2,ラテンアメリカ,西欧;中国,1500,1800,century,1.5,kc.atlantic.triangular_trade_geo,,作物・家畜・病原体が双方向に動いたと捉えられず、ジャガイモやトウモロコシがヨーロッパと中国の人口を支えた点まで届かない,
○,kc.renaissance.why_italy,ルネサンスがイタリアで始まった要因,causal,wh.3.6.1,2,南欧・地中海,アナトリア・シリア,1300,1450,century,1.4,kc.crusade.two_trade_zones,,東方貿易で蓄えた富とビザンツ滅亡による学者の流入という条件が、「古代ローマの遺産があったから」だけに縮む,
○,kc.renaissance.humanism,人文主義とスコラ学の違い,distinction,wh.3.6.1,2,南欧・地中海,西欧,1350,1550,century,1.4,kc.medcult.realism_vs_nominalism,,神中心から人間中心へという転換が、古典古代の原典に立ち返るという方法上の特徴と結びつかない,
○,kc.renaissance.three_inventions,三大発明の改良と影響,fact,wh.3.6.1,2,西欧,中国,1450,1500,century,1.4,,,火薬・羅針盤・活版印刷が中国起源であることと、それぞれ騎士の没落・大航海・宗教改革につながる点が対応しない,
○,kc.renaissance.northern,各国のルネサンスの担い手,distinction,wh.3.6.1,2,西欧,南欧・地中海,1450,1600,century,1.3,kc.renaissance.humanism,,エラスムス（ネーデルラント）・トマス=モア（イギリス）・ラブレー（フランス）・セルバンテス（スペイン）と作品の対応が崩れる,
○,kc.renaissance.printing_effects,活版印刷が社会を変えた因果,causal,wh.3.6.1,2,西欧,,1450,1550,century,1.5,kc.renaissance.three_inventions,,「情報が広まった」で止まり、聖書の各国語訳と宗教改革が急速に広がったことにつながる筋が抜ける,
○,kc.reformation.luther_causes,ルターが教会を批判した理由,causal,wh.3.6.2,2,西欧,南欧・地中海,1517,1521,exact,1.6,kc.medcult.wyclif_and_hus,,贖宥状の販売という直接の契機と、サン=ピエトロ大聖堂の改築費・ドイツの分裂という背景が結びつかない,
○,kc.reformation.luther_vs_calvin,ルター派とカルヴァン派の違い,distinction,wh.3.6.2,2,西欧,,1517,1560,exact,1.7,kc.reformation.luther_causes,,信仰義認と予定説の違い、支持層（諸侯／商工業者）の違い、蓄財を是認したかどうかが入れ替わる,
○,kc.reformation.settlement_order,宗教改革が政治的に決着する順序,chronology,wh.3.6.2,2,西欧,,1521,1648,exact,1.5,kc.reformation.luther_vs_calvin,,アウクスブルクの和議（諸侯が選ぶ・カルヴァン派は除外）とウェストファリア条約（カルヴァン派も承認）の内容の差が崩れる,
○,kc.reformation.anglican,イギリス国教会の成立の特殊性,distinction,wh.3.6.2,2,西欧,,1534,1559,exact,1.5,kc.reformation.luther_vs_calvin,,王の離婚問題が発端で、教義はカトリックに近いまま首長だけが替わったという性格が、大陸の改革と同一視される,
○,kc.reformation.counter_reformation,対抗宗教改革が生んだもの,causal,wh.3.6.2,2,南欧・地中海,西欧;東南アジア;東アジア,1534,1563,exact,1.4,kc.reformation.luther_causes,,トリエント公会議・イエズス会・禁書目録という対応と、イエズス会の海外布教が日本や中国にまで及んだことがつながらない,
○,kc.reformation.wars_to_state,宗教戦争が主権国家を用意した因果,causal,wh.3.6.2,2,西欧,,1562,1648,exact,1.5,kc.reformation.settlement_order,,ユグノー戦争・オランダ独立戦争・三十年戦争が、宗教対立から国家間の主権の争いへ変質していく流れとして見えない,
○,kc.absolutism.sovereign_state,主権国家体制と中世の秩序の違い,distinction,wh.3.6.3,2,西欧,,1648,1700,exact,1.5,kc.reformation.wars_to_state,,教皇と皇帝の普遍的権威が退いて対等な主権国家が並ぶという転換が、ウェストファリア条約の中身と結びつかない,
○,kc.absolutism.machinery,絶対王政を支えた仕組み,fact,wh.3.6.3,2,西欧,,1600,1750,century,1.5,kc.absolutism.sovereign_state,,常備軍・官僚制・王権神授説・重商主義という4本柱が、それぞれ独立した用語として散ってしまう,
○,kc.absolutism.mercantilism_types,重商主義の2つの型,distinction,wh.3.6.3,2,南欧・地中海,西欧,1500,1700,century,1.4,kc.absolutism.machinery,,重金主義（スペイン）と貿易差額主義（イギリス・フランス）の違いと、コルベールがどちらに立つかが混ざる,
○,kc.absolutism.hegemony_order,ヨーロッパの覇権が移った順序,chronology,wh.3.6.3,2,南欧・地中海,西欧,1580,1763,exact,1.6,kc.absolutism.mercantilism_types,,スペイン→オランダ→イギリスとフランスという覇権の移動が、無敵艦隊の敗北・英蘭戦争・七年戦争という節目と対応しない,
○,kc.absolutism.english_revolution,イギリスで議会が王権に勝った因果,causal,wh.3.6.3,2,西欧,,1628,1689,exact,1.7,kc.absolutism.machinery,,権利の請願・ピューリタン革命・王政復古・名誉革命・権利の章典という長い過程の、どこで何が確定したのかが崩れる,
○,kc.absolutism.europe_1700_geo,18世紀初頭のヨーロッパ列強の版図,geo,wh.3.6.3,2,西欧,東欧・ロシア;南欧・地中海,1683,1721,exact,1.4,kc.absolutism.hegemony_order,,プロイセンの成立・オーストリアの東方拡大・ロシアのバルト海進出が、同じ地図の上で位置づけられない,
○,kc.industrial.why_britain,産業革命がイギリスで最初に起きた要因,causal,wh.4.1.1,2,西欧,南アジア;北アメリカ,1700,1760,century,1.7,,,資本・労働力・資源・市場という条件が並列に暗記され、第2次囲い込みが労働力を生み植民地が市場になったという結びつきが抜ける,
○,kc.industrial.textile_inventions,綿工業の技術革新の順序,chronology,wh.4.1.1,2,西欧,,1733,1785,exact,1.4,kc.industrial.why_britain,,ジョン=ケイ・ハーグリーヴズ・アークライト・クロンプトン・カートライトと機械名の対応が崩れ、紡績と織布のどちらの工程かも入れ替わる,
○,kc.industrial.steam_to_transport,蒸気機関が交通革命を生んだ因果,causal,wh.4.1.1,2,西欧,北アメリカ,1769,1830,exact,1.4,kc.industrial.textile_inventions,,ワットの改良が動力源そのものの転換だったことと、スティーヴンソンの蒸気機関車・フルトンの蒸気船につながる筋が別々になる,
○,kc.industrial.social_change,産業革命前後の社会構造の違い,distinction,wh.4.1.1,2,西欧,,1760,1850,century,1.5,kc.industrial.steam_to_transport,,問屋制家内工業から工場制機械工業への転換が、資本家と労働者という新しい階級の登場と結びつかない,
○,kc.industrial.regions_geo,イギリスの工業地帯の位置,geo,wh.4.1.1,2,西欧,,1760,1850,century,1.3,kc.industrial.textile_inventions,,マンチェスター（綿）・バーミンガム（鉄）・リヴァプール（港）の役割分担と、石炭・鉄鉱の産地との関係が地図で結びつかない,
○,kc.industrial.labour_to_socialism,労働問題から社会主義が生まれた因果,causal,wh.4.1.1,2,西欧,,1811,1848,exact,1.5,kc.industrial.social_change,,ラダイト運動・工場法・チャーティスト運動・空想的社会主義・マルクスという流れが、時間軸の上で整理されない,
○,kc.usrev.causes,本国との対立が深まった要因,causal,wh.4.1.2,2,北アメリカ,西欧,1763,1775,exact,1.5,,,七年戦争の戦費負担が課税強化につながったことと、「代表なくして課税なし」という主張の中身が結びつかない,
○,kc.usrev.war_order,独立戦争の経過,chronology,wh.4.1.2,2,北アメリカ,西欧,1773,1783,exact,1.4,kc.usrev.causes,,ボストン茶会事件・大陸会議・独立宣言・ヨークタウンの戦い・パリ条約の順序と、フランスが参戦した時期が崩れる,
○,kc.usrev.declaration_vs_constitution,独立宣言と合衆国憲法の性格の違い,distinction,wh.4.1.2,2,北アメリカ,,1776,1788,exact,1.5,kc.usrev.war_order,,自然権と抵抗権を掲げた宣言と、連邦制・三権分立を定めた憲法の役割の違いが混ざり、奴隷制が残された点も落ちる,
○,kc.usrev.world_impact,独立が世界に与えた影響,causal,wh.4.1.2,2,北アメリカ,西欧;ラテンアメリカ,1776,1810,exact,1.4,kc.usrev.declaration_vs_constitution,,フランス革命とラテンアメリカ独立への波及が、思想の影響と本国の財政破綻という2つの経路に分けて説明できない,
○,kc.usrev.foreign_support,独立を助けた外国の動き,fact,wh.4.1.2,2,北アメリカ,西欧;東欧・ロシア,1777,1783,exact,1.1,kc.usrev.war_order,,義勇兵として戦ったラ=ファイエットやコシューシコと、武装中立同盟を提唱したエカチェリーナ2世の立場の違いが混ざる,
○,kc.frrev.causes,フランス革命が起きた要因,causal,wh.4.1.3,2,西欧,北アメリカ,1774,1789,exact,1.7,kc.usrev.world_impact,,身分制（アンシャン=レジーム）への不満と、アメリカ独立戦争への支援による財政破綻という2つの要因が並べられない,
○,kc.frrev.stages_order,革命の段階と主導勢力の順序,chronology,wh.4.1.3,2,西欧,,1789,1799,exact,1.8,kc.frrev.causes,,国民議会・立法議会・国民公会・総裁政府と、フイヤン派・ジロンド派・ジャコバン派の対応が最頻出の失点になる,
○,kc.frrev.declaration_vs_code,人権宣言とナポレオン法典の違い,distinction,wh.4.1.3,2,西欧,,1789,1804,exact,1.5,kc.frrev.stages_order,,理念を掲げた宣言と、私有財産の不可侵や法の前の平等を制度にした法典の役割の違いが、どちらも「革命の成果」で一括りにされる,
○,kc.frrev.terror_causes,恐怖政治が生まれた因果,causal,wh.4.1.3,2,西欧,,1792,1794,exact,1.5,kc.frrev.stages_order,,対外戦争と国内の反乱という二重の危機への対応だったという文脈が抜け、ロベスピエール個人の資質に帰される,
○,kc.frrev.napoleonic_europe_geo,ナポレオン支配下のヨーロッパ,geo,wh.4.1.3,2,西欧,東欧・ロシア;南欧・地中海,1804,1812,exact,1.5,kc.frrev.declaration_vs_code,,直接支配・従属国・同盟国という三層と、大陸封鎖令が及ぶ範囲が地図の上で区別できない,
○,kc.frrev.napoleon_fall,ナポレオンが没落した要因,causal,wh.4.1.3,2,西欧,東欧・ロシア;南欧・地中海,1806,1815,exact,1.6,kc.frrev.napoleonic_europe_geo,,大陸封鎖令の破綻・ロシア遠征の失敗・スペインやドイツで目覚めたナショナリズムという3つの要因が結びつかない,
○,kc.vienna.principles,正統主義と勢力均衡の違い,distinction,wh.4.2.1,2,西欧,東欧・ロシア,1814,1815,exact,1.5,kc.frrev.napoleon_fall,,革命前に戻すという原則（正統主義）と、大国の力を釣り合わせるという原則が、同じ「ウィーン体制」で一括りにされる,
○,kc.vienna.map_1815_geo,ウィーン議定書後のヨーロッパの版図,geo,wh.4.2.1,2,西欧,東欧・ロシア;南欧・地中海,1815,1830,exact,1.4,kc.vienna.principles,,ドイツ連邦の成立・オランダとベルギーの合併・ポーランド立憲王国・スイスの永世中立が地図の上で位置づけられない,
○,kc.vienna.liberal_movements_order,自由主義運動が起きた順序,chronology,wh.4.2.1,2,西欧,南欧・地中海;ラテンアメリカ,1820,1848,exact,1.6,kc.vienna.principles,,スペイン立憲革命・デカブリストの乱・ギリシア独立・七月革命・二月革命の順序と、そのうちどれが成功したかが崩れる,
○,kc.vienna.1848_spread,二月革命がヨーロッパへ波及した因果,causal,wh.4.2.1,2,西欧,東欧・ロシア,1848,1849,exact,1.6,kc.vienna.liberal_movements_order,,ウィーン三月革命でメッテルニヒが失脚しウィーン体制そのものが崩れる、という因果の中心が見えない,
○,kc.vienna.latin_america,ラテンアメリカ諸国が独立できた要因,causal,wh.4.2.1,2,ラテンアメリカ,西欧;北アメリカ,1804,1826,exact,1.4,kc.usrev.world_impact,,本国の弱体化・クリオーリョの主導・イギリスの支持とモンロー宣言という条件が、シモン=ボリバルらの名前の暗記に埋もれる,
○,kc.vienna.british_reforms,イギリスの自由主義的改革の内容,distinction,wh.4.2.1,2,西欧,,1828,1846,exact,1.4,kc.vienna.liberal_movements_order,,審査法廃止・カトリック解放法・第1回選挙法改正・奴隷制廃止・穀物法廃止の順序と、それぞれ誰の要求だったかが混ざる,
○,kc.unification.italy_vs_germany,イタリア統一とドイツ統一の主導勢力の違い,distinction,wh.4.2.2,2,西欧,南欧・地中海,1859,1871,exact,1.6,kc.vienna.1848_spread,,サルデーニャ王国（カヴール）とプロイセン（ビスマルク）という主導者の対比と、どちらも上からの統一だった点が整理されない,
○,kc.unification.three_wars,ドイツ統一の3戦争の順序,chronology,wh.4.2.2,2,西欧,東欧・ロシア,1864,1871,exact,1.6,kc.unification.italy_vs_germany,,デンマーク戦争・普墺戦争・普仏戦争の順序と、それぞれで何が決まったか（シュレスヴィヒ／北ドイツ連邦／帝国成立）が崩れる,
○,kc.unification.garibaldi,ガリバルディの南部併合が統一を早めた因果,causal,wh.4.2.2,2,南欧・地中海,,1860,1861,exact,1.4,kc.unification.italy_vs_germany,,千人隊による両シチリア王国の征服と、それをサルデーニャ王に献上したという選択の意味が抜ける,
○,kc.unification.irredenta_geo,統一後に残った未回収の地,geo,wh.4.2.2,2,南欧・地中海,東欧・ロシア,1866,1919,exact,1.3,kc.unification.garibaldi,,南チロルとトリエステの位置と、それが第一次世界大戦でイタリアが参戦する動機になるという関係が結びつかない,
○,kc.unification.bismarck_system,ビスマルク外交がフランスを孤立させた因果,causal,wh.4.2.2,2,西欧,東欧・ロシア;南欧・地中海,1873,1890,exact,1.6,kc.unification.three_wars,,三帝同盟・三国同盟・再保障条約という同盟網の目的が、フランスの孤立という一点にあることが見えない,
○,kc.c19soc.us_expansion_order,アメリカの領土拡大の順序,chronology,wh.4.2.3,2,北アメリカ,西欧;ラテンアメリカ,1803,1867,exact,1.4,,,ルイジアナ買収・フロリダ買収・テキサス併合・オレゴン併合・カリフォルニア獲得・アラスカ購入の順序と、相手国が崩れる,
○,kc.c19soc.civil_war_causes,南北戦争が起きた要因,causal,wh.4.2.3,2,北アメリカ,,1820,1861,exact,1.6,kc.c19soc.us_expansion_order,,奴隷制の是非だけで説明し、保護貿易か自由貿易かという経済的利害の対立を落とす,
○,kc.c19soc.north_vs_south,北部と南部の経済構造の違い,distinction,wh.4.2.3,2,北アメリカ,西欧,1800,1865,century,1.5,kc.c19soc.civil_war_causes,,商工業・保護関税・奴隷制反対（北部）と、綿花プランテーション・自由貿易・奴隷制維持（南部）の対応が入れ替わる,
○,kc.c19soc.russian_reform,ロシアで農奴解放が行われた因果,causal,wh.4.2.3,2,東欧・ロシア,アナトリア・シリア,1853,1881,exact,1.5,,,クリミア戦争の敗北が後進性を露わにしたという契機と、その後のナロードニキ運動・専制への回帰という流れがつながらない,
○,kc.c19soc.science_and_thought,19世紀の科学と思想,fact,wh.4.2.3,2,西欧,,1830,1900,century,1.2,kc.industrial.labour_to_socialism,,ダーウィン・パストゥール・メンデレーエフ・コントと分野の対応が崩れ、進化論が社会に転用された点も見落とされる,
○,kc.c19soc.migration_geo,19世紀後半の移民の流れ,geo,wh.4.2.3,2,西欧,北アメリカ;ラテンアメリカ;東アジア,1840,1900,century,1.3,kc.c19soc.north_vs_south,,アイルランド・ドイツから、のちに南欧東欧からアメリカへという時期差と、中国や日本から北米・南米へ渡った流れが地図で捉えられない,
○,kc.westasia19.reform_order,オスマン帝国の改革の順序,chronology,wh.4.3.1,2,アナトリア・シリア,,1839,1908,exact,1.5,kc.ottoman.expansion_order,,タンジマート・ミドハト憲法・その停止・青年トルコ革命の順序と、憲法が2度出てくる理由が崩れる,
○,kc.westasia19.eastern_question,東方問題が列強の介入を招いた因果,causal,wh.4.3.1,2,アナトリア・シリア,東欧・ロシア;西欧,1821,1878,exact,1.6,kc.westasia19.reform_order,,ロシアの南下とイギリスの対抗という構図が、ギリシア独立・エジプト=トルコ戦争・クリミア戦争・露土戦争を貫いていることが見えない,
